sentenceIndex,w_20,w_50,w_80,w_100,n
1,0,0,0,0,17
2,0,0,0,0,24
3,1,1,1,1,14
4,0,0,0,0,45
5,3,3,3,3,21
6,0,0,0,0,20
7,0,0,0,0,45
8,6,6,6,6,21
9,4,4,4,4,15
10,2,2,2,2,13
11,4,4,4,4,14
12,3,3,3,3,29
13,0,0,0,0,39
14,5,5,5,5,30
15,6,6,6,6,29
16,7,7,7,7,53
17,4,4,4,4,15
18,2,2,2,2,23
19,2,2,2,2,11
20,0,0,0,0,31
21,0,0,0,0,40
22,2,2,2,2,35
23,3,3,3,3,31
24,5,5,5,5,16
25,5,5,5,5,18
26,2,2,2,2,22
27,2,2,2,2,18
28,0,0,0,0,11
29,5,5,5,5,6
30,4,4,4,4,34
31,2,2,2,2,17
32,5,5,5,5,6
33,0,0,0,0,28
34,6,6,6,6,7
35,2,2,2,2,21
36,0,0,0,0,24
37,4,4,4,4,27
38,5,5,5,5,28
39,0,0,0,0,26
40,3,3,3,3,12
41,4,4,4,4,23
42,3,3,3,3,24
43,4,4,4,4,13
44,0,0,0,0,11
45,0,0,0,0,35
46,0,0,0,0,33
47,3,3,3,3,34
48,3,3,3,3,28
49,1,1,1,1,23
50,4,4,4,4,22
51,9,9,9,9,51
52,3,3,3,3,26
53,8,8,8,8,35
54,1,1,1,1,28
55,4,4,4,4,31
56,3,3,3,3,31
57,4,4,4,4,32
58,0,0,0,0,14
59,4,4,4,4,23
60,2,2,2,2,23
61,2,2,2,2,24
62,6,6,6,6,17
63,0,0,0,0,18
64,0,0,0,0,17
65,1,1,1,1,11
66,0,0,0,0,27
67,6,6,6,6,45
68,0,0,0,0,28
69,0,0,0,0,26
70,5,5,5,5,20
71,1,1,1,1,29
72,0,0,0,0,16
73,7,7,7,7,49
74,6,6,6,6,27
75,3,3,3,3,23
76,3,3,3,3,16
77,4,4,4,4,28
78,0,0,0,0,48
79,3,3,3,3,18
80,1,1,1,1,10
81,0,0,0,0,25
82,3,3,3,3,10
83,1,1,1,1,25
84,1,1,1,1,28
85,0,0,0,0,17
86,1,1,1,1,12
87,1,1,1,1,11
88,0,0,0,0,13
89,2,2,2,2,14
90,1,1,1,1,8
91,0,0,0,0,41
92,0,0,0,0,18
93,4,4,4,4,37
94,3,3,3,3,26
95,5,5,5,5,29
96,2,2,2,2,12
97,4,4,4,4,27
98,6,6,6,6,27
99,4,4,4,4,21
100,2,2,2,2,13
101,7,7,7,7,25
102,0,0,0,0,59
103,0,0,0,0,35
104,0,0,0,0,26
105,5,5,5,5,23
106,7,7,7,7,29
107,3,3,3,3,42
108,4,4,4,4,19
109,1,1,1,1,25
110,0,0,0,0,29
111,3,3,3,3,21
112,3,3,3,3,36
113,6,6,6,6,24
114,5,5,5,5,15
115,0,0,0,0,34
116,0,0,0,0,49
117,1,1,1,1,26
118,5,5,5,5,27
119,8,8,8,8,54
120,1,1,1,1,15
121,0,0,0,0,38
122,0,0,0,0,35
123,0,0,0,0,26
124,0,0,0,0,40
125,3,3,3,3,29
126,5,5,5,5,26
127,2,2,2,2,8
128,1,1,1,1,17
129,1,1,1,1,47
130,1,1,1,1,30
131,3,3,3,3,14
132,2,2,2,2,13
133,0,0,0,0,28
134,1,1,1,1,25
135,0,0,0,0,23
136,0,0,0,0,31
137,0,0,0,0,47
138,5,5,5,5,53
139,0,0,0,0,17
140,0,0,0,0,20
141,0,0,0,0,27
142,5,5,5,5,25
143,0,0,0,0,42
144,1,1,1,1,41
145,2,2,2,2,15
146,3,3,3,3,21
147,1,1,1,1,29
148,2,2,2,2,23
149,0,0,0,0,17
150,0,0,0,0,48
151,1,1,1,1,29
152,0,0,0,0,32
153,0,0,0,0,45
154,9,9,9,9,61
155,6,6,6,6,31
156,4,4,4,4,34
157,10,10,10,10,51
158,0,0,0,0,30
159,3,3,3,3,20
160,10,10,10,10,42
161,5,5,5,5,24
162,0,0,0,0,31
163,0,0,0,0,36
164,4,4,4,4,24
165,3,3,3,3,30
166,4,4,4,4,38
167,0,0,0,0,12
168,0,0,0,0,31
169,0,0,0,0,28
170,5,5,5,5,34
171,4,4,4,4,23
172,2,2,2,2,13
173,0,0,0,0,32
174,2,2,2,2,23
175,8,8,8,8,30
176,2,2,2,2,17
177,0,0,0,0,22
178,0,0,0,0,53
179,0,0,0,0,28
180,0,0,0,0,45
181,0,0,0,0,53
182,7,7,7,7,35
183,4,4,4,4,17
184,0,0,0,0,18
185,2,2,2,2,9
186,2,2,2,2,28
187,0,0,0,0,31
188,3,3,3,3,11
189,2,2,2,2,22
190,2,2,2,2,27
191,5,5,5,5,20
192,8,8,8,8,19
193,7,7,7,7,21
194,3,3,3,3,16
195,1,1,1,1,9
196,0,0,0,0,17
197,1,1,1,1,16
198,0,0,0,0,12
199,1,1,1,1,16
200,2,2,2,2,16
201,0,0,0,0,26
202,0,0,0,0,12
203,3,3,3,3,14
204,3,3,3,3,7
205,4,4,4,4,21
206,3,3,3,3,15
207,4,4,4,4,27
208,0,0,0,0,23
209,0,0,0,0,10
210,3,3,3,3,21
211,4,4,4,4,18
212,0,0,0,0,21
213,0,0,0,0,21
214,2,2,2,2,22
215,6,6,6,6,23
216,2,2,2,2,6
217,4,4,4,4,11
218,1,1,1,1,11
219,6,6,6,6,9
220,1,1,1,1,22
221,2,2,2,2,12
222,2,2,2,2,21
223,0,0,0,0,24
224,2,2,2,2,16
225,6,6,6,6,43
226,3,3,3,3,36
227,4,4,4,4,26
228,1,1,1,1,5
229,3,3,3,3,13
230,4,4,4,4,9
231,1,1,1,1,21
232,3,3,3,3,15
233,1,1,1,1,14
234,0,0,0,0,17
235,2,2,2,2,13
236,0,0,0,0,3
237,3,3,3,3,21
238,0,0,0,0,32
239,2,2,2,2,12
240,2,2,2,2,16
241,0,0,0,0,17
242,1,1,1,1,6
243,0,0,0,0,34
244,4,4,4,4,34
245,0,0,0,0,15
246,0,0,0,0,13
247,2,2,2,2,19
248,2,2,2,2,7
249,7,7,7,7,35
250,5,5,5,5,35
251,2,2,2,2,25
252,1,1,1,1,28
253,0,0,0,0,8
254,0,0,0,0,37
255,0,0,0,0,11
256,4,4,4,4,42
257,4,4,4,4,33
258,3,3,3,3,13
259,6,6,6,6,27
260,2,2,2,2,9
261,0,0,0,0,7
262,5,5,5,5,25
263,2,2,2,2,5
264,0,0,0,0,25
265,0,0,0,0,10
266,0,0,0,0,38
267,4,4,4,4,30
268,1,1,1,1,14
269,0,0,0,0,24
270,5,5,5,5,31
271,1,1,1,1,13
