sentenceIndex,w_20,w_50,w_80,w_100,n
272,12,12,12,12,110
273,1,1,1,1,7
274,4,4,4,4,22
275,0,0,0,0,55
276,4,4,4,4,32
277,3,3,3,3,40
278,0,0,0,0,40
279,0,0,0,0,15
280,0,0,0,0,33
281,4,4,4,4,29
282,2,2,2,2,26
283,0,0,0,0,20
284,6,6,6,6,19
285,3,3,3,3,39
286,4,4,4,4,24
287,1,1,1,1,20
288,10,10,10,10,48
289,0,0,0,0,31
290,2,2,2,2,11
291,4,4,4,4,16
292,1,1,1,1,13
293,2,2,2,2,9
294,3,3,3,3,35
295,0,0,0,0,7
296,5,5,5,5,39
297,0,0,0,0,22
298,2,2,2,2,19
299,4,4,4,4,37
300,5,5,5,5,36
301,5,5,5,5,30
302,0,0,0,0,48
303,0,0,0,0,46
304,1,1,1,1,26
305,6,6,6,6,30
306,0,0,0,0,28
307,3,3,3,3,16
308,8,8,8,8,32
309,0,0,0,0,18
310,2,2,2,2,14
311,0,0,0,0,39
312,0,0,0,0,26
313,1,1,1,1,24
314,1,1,1,1,38
315,0,0,0,0,23
316,2,2,2,2,26
317,9,9,9,9,24
318,0,0,0,0,46
319,0,0,0,0,28
320,0,0,0,0,65
321,0,0,0,0,19
322,4,4,4,4,24
323,1,1,1,1,52
324,1,1,1,1,5
325,0,0,0,0,33
326,3,3,3,3,32
327,5,5,5,5,19
328,2,2,2,2,16
329,1,1,1,1,9
330,5,5,5,5,25
331,0,0,0,0,23
332,0,0,0,0,14
333,0,0,0,0,33
334,0,0,0,0,19
335,0,0,0,0,25
336,4,4,4,4,19
337,6,6,6,6,37
338,0,0,0,0,13
339,4,4,4,4,23
340,3,3,3,3,20
341,1,1,1,1,22
342,0,0,0,0,31
343,5,5,5,5,36
344,3,3,3,3,39
345,5,5,5,5,31
346,0,0,0,0,63
347,3,3,3,3,20
348,1,1,1,1,11
349,5,5,5,5,19
350,3,3,3,3,29
351,2,2,2,2,14
352,4,4,4,4,26
353,3,3,3,3,32
354,0,0,0,0,17
355,2,2,2,2,14
356,4,4,4,4,16
357,0,0,0,0,18
358,1,1,1,1,14
359,4,4,4,4,28
360,3,3,3,3,36
361,0,0,0,0,26
362,4,4,4,4,22
363,4,4,4,4,18
364,3,3,3,3,18
365,3,3,3,3,20
366,2,2,2,2,13
367,4,4,4,4,36
368,3,3,3,3,30
369,3,3,3,3,19
370,7,7,7,7,51
371,4,4,4,4,28
372,0,0,0,0,31
373,2,2,2,2,8
374,1,1,1,1,13
375,4,4,4,4,33
376,1,1,1,1,13
377,3,3,3,3,12
378,0,0,0,0,32
379,4,4,4,4,19
380,0,0,0,0,15
381,2,2,2,2,14
382,3,3,3,3,4
383,0,0,0,0,45
384,4,4,4,4,21
385,3,3,3,3,10
386,3,3,3,3,3
387,2,2,2,2,13
388,5,5,5,5,15
389,1,1,1,1,22
390,4,4,4,4,26
391,5,5,5,5,34
392,5,5,5,5,38
393,0,0,0,0,42
394,3,3,3,3,19
395,0,0,0,0,38
396,0,0,0,0,12
397,1,1,1,1,13
398,14,14,14,14,60
399,4,4,4,4,23
400,4,4,4,4,16
401,6,6,6,6,32
402,0,0,0,0,38
403,2,2,2,2,22
404,4,4,4,4,25
405,3,3,3,3,27
406,3,3,3,3,25
407,3,3,3,3,21
408,2,2,2,2,19
409,4,4,4,4,56
410,3,3,3,3,16
411,2,2,2,2,14
412,2,2,2,2,31
413,0,0,0,0,41
414,4,4,4,4,19
415,0,0,0,0,25
416,3,3,3,3,3
417,6,6,6,6,51
418,3,3,3,3,19
419,2,2,2,2,16
420,1,1,1,1,16
421,0,0,0,0,19
422,1,1,1,1,14
423,4,4,4,4,15
424,1,1,1,1,8
425,3,3,3,3,20
426,3,3,3,3,14
427,0,0,0,0,17
428,2,2,2,2,36
429,2,2,2,2,7
430,0,0,0,0,26
431,10,10,10,10,24
432,2,2,2,2,6
433,1,1,1,1,14
434,4,4,4,4,24
435,5,5,5,5,19
436,0,0,0,0,12
437,3,3,3,3,33
438,6,6,6,6,34
439,1,1,1,1,16
440,0,0,0,0,40
441,0,0,0,0,21
442,0,0,0,0,24
443,1,1,1,1,17
444,0,0,0,0,12
445,5,5,5,5,20
446,0,0,0,0,23
447,0,0,0,0,26
448,4,4,4,4,20
449,3,3,3,3,14
450,4,4,4,4,24
451,4,4,4,4,22
452,0,0,0,0,23
453,0,0,0,0,39
454,1,1,1,1,26
455,5,5,5,5,30
456,3,3,3,3,24
457,0,0,0,0,28
458,0,0,0,0,29
459,2,2,2,2,2
460,2,2,2,2,16
461,2,2,2,2,22
462,3,3,3,3,21
463,3,3,3,3,18
464,2,2,2,2,16
465,0,0,0,0,39
466,0,0,0,0,7
467,0,0,0,0,24
468,4,4,4,4,37
469,4,4,4,4,31
470,4,4,4,4,10
471,0,0,0,0,37
472,0,0,0,0,14
473,5,5,5,5,17
474,5,5,5,5,22
475,5,5,5,5,21
476,0,0,0,0,33
477,1,1,1,1,16
478,0,0,0,0,25
479,5,5,5,5,26
480,2,2,2,2,31
481,0,0,0,0,31
482,5,5,5,5,16
483,1,1,1,1,44
484,4,4,4,4,24
485,0,0,0,0,22
486,1,1,1,1,16
487,0,0,0,0,23
488,1,1,1,1,14
489,4,4,4,4,29
490,4,4,4,4,23
491,0,0,0,0,30
492,3,3,3,3,27
493,3,3,3,3,31
494,3,3,3,3,23
495,5,5,5,5,23
496,0,0,0,0,21
497,11,11,11,11,28
498,3,3,3,3,15
499,3,3,3,3,26
500,3,3,3,3,16
501,5,5,5,5,20
502,7,7,7,7,21
503,3,3,3,3,31
504,2,2,2,2,30
505,5,5,5,5,29
506,8,8,8,8,25
507,3,3,3,3,34
508,2,2,2,2,30
509,2,2,2,2,29
510,3,3,3,3,29
511,1,1,1,1,30
512,7,7,7,7,27
513,4,4,4,4,19
514,5,5,5,5,29
515,4,4,4,4,36
516,1,1,1,1,18
517,3,3,3,3,37
518,1,1,1,1,21
519,0,0,0,0,48
520,6,6,6,6,41
521,0,0,0,0,52
522,3,3,3,3,23
523,0,0,0,0,51
524,3,3,3,3,14
525,3,3,3,3,18
526,0,0,0,0,30
527,4,4,4,4,25
528,2,2,2,2,42
529,2,2,2,2,16
530,0,0,0,0,28
531,3,3,3,3,28
532,5,5,5,5,16
533,1,1,1,1,13
534,4,4,4,4,8
535,2,2,2,2,17
536,0,0,0,0,31
537,3,3,3,3,43
538,2,2,2,2,17
539,8,8,8,8,42
540,0,0,0,0,45
541,5,5,5,5,26
542,2,2,2,2,31
543,4,4,4,4,35
544,3,3,3,3,22
545,6,6,6,6,44
546,7,7,7,7,52
547,8,8,8,8,27
548,1,1,1,1,9
549,1,1,1,1,40
550,0,0,0,0,23
551,4,4,4,4,37
552,5,5,5,5,41
553,2,2,2,2,16
554,1,1,1,1,34
555,5,5,5,5,21
556,1,1,1,1,24
557,7,7,7,7,45
558,3,3,3,3,25
559,3,3,3,3,23
560,3,3,3,3,42
561,5,5,5,5,44
562,6,6,6,6,28
563,2,2,2,2,38
564,7,7,7,7,30
565,5,5,5,5,27
566,1,1,1,1,13
567,3,3,3,3,14
568,2,2,2,2,17
569,4,4,4,4,40
570,2,2,2,2,12
571,4,4,4,4,31
572,3,3,3,3,24
573,5,5,5,5,26
574,4,4,4,4,21
575,3,3,3,3,24
576,6,6,6,6,21
577,5,5,5,5,45
578,3,3,3,3,13
579,2,2,2,2,9
580,6,6,6,6,25
581,6,6,6,6,20
582,3,3,3,3,16
583,3,3,3,3,13
584,0,0,0,0,7
585,2,2,2,2,20
586,5,5,5,5,22
587,1,1,1,1,12
588,2,2,2,2,17
589,3,3,3,3,3
590,2,2,2,2,22
591,1,1,1,1,16
592,5,5,5,5,19
593,7,7,7,7,33
594,3,3,3,3,15
595,5,5,5,5,26
596,4,4,4,4,40
597,2,2,2,2,9
598,2,2,2,2,15
599,5,5,5,5,31
600,5,5,5,5,33
601,5,5,5,5,44
602,3,3,3,3,30
603,3,3,3,3,23
604,1,1,1,1,28
605,2,2,2,2,35
606,4,4,4,4,41
607,2,2,2,2,25
608,4,4,4,4,21
609,2,2,2,2,14
610,0,0,0,0,12
611,6,6,6,6,32
612,1,1,1,1,25
613,4,4,4,4,27
614,0,0,0,0,16
615,0,0,0,0,34
616,0,0,0,0,44
617,0,0,0,0,35
618,3,3,3,3,41
619,0,0,0,0,28
620,2,2,2,2,17
621,3,3,3,3,29
622,0,0,0,0,20
623,0,0,0,0,34
624,0,0,0,0,13
625,8,8,8,8,31
626,4,4,4,4,29
627,2,2,2,2,17
628,0,0,0,0,31
629,0,0,0,0,18
630,0,0,0,0,32
631,0,0,0,0,13
632,0,0,0,0,20
633,0,0,0,0,12
634,0,0,0,0,36
635,0,0,0,0,11
636,0,0,0,0,17
637,5,5,5,5,15
638,3,3,3,3,28
639,5,5,5,5,27
640,0,0,0,0,32
641,1,1,1,1,19
642,2,2,2,2,10
643,2,2,2,2,25
644,0,0,0,0,23
645,5,5,5,5,28
646,0,0,0,0,43
647,0,0,0,0,23
648,4,4,4,4,17
649,2,2,2,2,12
650,0,0,0,0,27
651,1,1,1,1,5
652,0,0,0,0,8
653,0,0,0,0,36
654,1,1,1,1,11
655,0,0,0,0,24
656,0,0,0,0,34
657,2,2,2,2,14
658,3,3,3,3,20
659,0,0,0,0,43
660,0,0,0,0,17
661,3,3,3,3,31
662,4,4,4,4,21
663,2,2,2,2,5
664,4,4,4,4,29
665,3,3,3,3,17
666,6,6,6,6,21
667,0,0,0,0,12
668,0,0,0,0,43
669,0,0,0,0,14
670,5,5,5,5,48
671,3,3,3,3,24
672,0,0,0,0,27
673,2,2,2,2,2
674,1,1,1,1,28
675,5,5,5,5,26
676,1,1,1,1,13
677,0,0,0,0,29
678,2,2,2,2,22
679,0,0,0,0,40
680,2,2,2,2,16
681,6,6,6,6,28
682,3,3,3,3,21
683,3,3,3,3,20
684,3,3,3,3,26
685,5,5,5,5,19
686,3,3,3,3,18
687,0,0,0,0,16
688,4,4,4,4,12
689,4,4,4,4,19
690,3,3,3,3,19
691,3,3,3,3,39
692,3,3,3,3,25
693,3,3,3,3,23
694,2,2,2,2,14
695,3,3,3,3,21
696,5,5,5,5,26
697,0,0,0,0,20
698,3,3,3,3,12
699,7,7,7,7,26
700,0,0,0,0,15
701,0,0,0,0,19
702,3,3,3,3,30
703,1,1,1,1,11
704,0,0,0,0,25
705,1,1,1,1,12
706,2,2,2,2,16
707,3,3,3,3,45
708,1,1,1,1,12
709,0,0,0,0,28
710,0,0,0,0,15
711,4,4,4,4,19
712,0,0,0,0,42
713,3,3,3,3,23
714,3,3,3,3,33
715,1,1,1,1,42
716,1,1,1,1,24
717,1,1,1,1,39
718,2,2,2,2,21
719,5,5,5,5,27
720,3,3,3,3,17
721,1,1,1,1,15
722,4,4,4,4,12
723,6,6,6,6,21
724,1,1,1,1,32
725,0,0,0,0,22
726,5,5,5,5,30
727,7,7,7,7,23
728,1,1,1,1,17
729,0,0,0,0,19
730,5,5,5,5,21
731,0,0,0,0,28
732,2,2,2,2,17
733,7,7,7,7,27
734,0,0,0,0,22
735,2,2,2,2,10
736,3,3,3,3,13
737,4,4,4,4,12
738,4,4,4,4,18
739,3,3,3,3,18
740,4,4,4,4,30
741,2,2,2,2,13
742,5,5,5,5,29
743,2,2,2,2,24
744,4,4,4,4,19
745,4,4,4,4,22
746,2,2,2,2,8
747,0,0,0,0,25
748,8,8,8,8,36
749,4,4,4,4,18
750,3,3,3,3,4
751,1,1,1,1,27
752,2,2,2,2,28
753,2,2,2,2,27
754,0,0,0,0,18
755,2,2,2,2,22
756,5,5,5,5,44
757,4,4,4,4,24
758,6,6,6,6,25
759,0,0,0,0,39
760,0,0,0,0,5
761,0,0,0,0,25
762,0,0,0,0,25
763,1,1,1,1,9
764,0,0,0,0,25
765,4,4,4,4,4
766,2,2,2,2,2
767,0,0,0,0,40
768,0,0,0,0,13
769,0,0,0,0,37
770,7,7,7,7,45
771,0,0,0,0,28
772,1,1,1,1,11
773,3,3,3,3,40
774,3,3,3,3,3
775,2,2,2,2,17
776,0,0,0,0,44
777,0,0,0,0,14
778,3,3,3,3,40
779,1,1,1,1,22
780,1,1,1,1,6
781,1,1,1,1,11
782,9,9,9,9,17
783,0,0,0,0,68
784,4,4,4,4,19
785,3,3,3,3,15
786,3,3,3,3,31
787,0,0,0,0,79
788,6,6,6,6,13
789,2,2,2,2,12
790,6,6,6,6,8
791,2,2,2,2,45
792,6,6,6,6,10
793,1,1,1,1,7
794,2,2,2,2,9
795,4,4,4,4,28
796,7,7,7,7,15
797,4,4,4,4,11
798,7,7,7,7,63
799,3,3,3,3,18
800,5,5,5,5,27
801,10,10,10,10,78
802,2,2,2,2,18
803,4,4,4,4,25
804,1,1,1,1,17
805,4,4,4,4,29
806,0,0,0,0,7
807,1,1,1,1,9
808,1,1,1,1,6
809,2,2,2,2,6
810,3,3,3,3,7
811,2,2,2,2,17
812,2,2,2,2,22
813,2,2,2,2,9
814,3,3,3,3,38
815,4,4,4,4,15
816,3,3,3,3,17
817,0,0,0,0,26
818,3,3,3,3,16
819,5,5,5,5,24
820,0,0,0,0,10
821,6,6,6,6,48
822,4,4,4,4,24
823,1,1,1,1,10
824,3,3,3,3,36
825,1,1,1,1,5
826,2,2,2,2,15
827,1,1,1,1,4
828,2,2,2,2,7
829,0,0,0,0,13
830,2,2,2,2,14
831,0,0,0,0,6
832,2,2,2,2,20
833,1,1,1,1,11
834,1,1,1,1,11
835,0,0,0,0,24
836,2,2,2,2,17
837,2,2,2,2,29
838,1,1,1,1,13
839,6,6,6,6,22
840,4,4,4,4,20
841,3,3,3,3,30
842,2,2,2,2,27
843,2,2,2,2,18
844,5,5,5,5,26
845,2,2,2,2,32
846,3,3,3,3,30
847,4,4,4,4,35
848,2,2,2,2,27
849,3,3,3,3,23
850,5,5,5,5,22
851,2,2,2,2,21
852,4,4,4,4,35
853,0,0,0,0,23
854,2,2,2,2,24
855,2,2,2,2,27
856,3,3,3,3,37
857,5,5,5,5,20
858,2,2,2,2,20
859,1,1,1,1,24
860,3,3,3,3,22
861,3,3,3,3,27
862,4,4,4,4,15
863,1,1,1,1,16
864,4,4,4,4,40
865,0,0,0,0,13
866,1,1,1,1,15
867,2,2,2,2,31
868,0,0,0,0,41
869,4,4,4,4,13
870,2,2,2,2,42
871,2,2,2,2,23
872,4,4,4,4,28
873,4,4,4,4,13
874,5,5,5,5,22
875,3,3,3,3,27
876,0,0,0,0,12
877,0,0,0,0,28
878,2,2,2,2,16
879,3,3,3,3,20
880,4,4,4,4,15
881,5,5,5,5,28
882,1,1,1,1,18
883,5,5,5,5,25
884,2,2,2,2,23
885,0,0,0,0,27
886,2,2,2,2,29
887,0,0,0,0,25
888,5,5,5,5,32
889,2,2,2,2,15
890,5,5,5,5,23
891,0,0,0,0,22
892,3,3,3,3,11
893,0,0,0,0,34
894,0,0,0,0,19
895,0,0,0,0,18
896,3,3,3,3,26
897,0,0,0,0,14
898,0,0,0,0,21
899,2,2,2,2,7
900,3,3,3,3,33
901,2,2,2,2,7
902,3,3,3,3,34
903,1,1,1,1,9
904,0,0,0,0,34
905,4,4,4,4,32
906,5,5,5,5,27
907,4,4,4,4,26
908,0,0,0,0,33
909,0,0,0,0,35
910,0,0,0,0,25
911,0,0,0,0,15
912,3,3,3,3,20
913,2,2,2,2,32
914,0,0,0,0,20
915,0,0,0,0,14
916,4,4,4,4,12
917,5,5,5,5,20
918,0,0,0,0,14
919,2,2,2,2,7
920,0,0,0,0,17
921,5,5,5,5,32
922,2,2,2,2,27
923,2,2,2,2,9
924,5,5,5,5,24
925,3,3,3,3,27
926,0,0,0,0,6
927,5,5,5,5,19
928,4,4,4,4,10
929,2,2,2,2,16
930,4,4,4,4,17
931,6,6,6,6,43
932,2,2,2,2,10
933,4,4,4,4,13
934,0,0,0,0,26
935,2,2,2,2,22
936,3,3,3,3,12
937,3,3,3,3,31
938,3,3,3,3,23
939,0,0,0,0,16
940,3,3,3,3,21
941,2,2,2,2,27
942,0,0,0,0,37
943,6,6,6,6,27
944,0,0,0,0,44
945,6,6,6,6,38
946,3,3,3,3,19
947,6,6,6,6,38
948,1,1,1,1,30
949,0,0,0,0,34
950,2,2,2,2,8
951,0,0,0,0,27
952,0,0,0,0,36
953,0,0,0,0,25
954,0,0,0,0,14
955,0,0,0,0,34
956,0,0,0,0,25
957,0,0,0,0,21
958,0,0,0,0,33
959,3,3,3,3,18
960,7,7,7,7,44
961,0,0,0,0,50
962,7,7,7,7,28
963,6,6,6,6,17
964,0,0,0,0,25
965,4,4,4,4,23
966,0,0,0,0,27
967,0,0,0,0,16
968,4,4,4,4,31
969,9,9,9,9,22
970,3,3,3,3,24
971,0,0,0,0,19
972,1,1,1,1,17
973,1,1,1,1,61
974,4,4,4,4,59
975,3,3,3,3,19
976,3,3,3,3,44
977,8,8,8,8,33
978,0,0,0,0,13
979,0,0,0,0,33
980,1,1,1,1,43
981,5,5,5,5,23
982,2,2,2,2,17
983,0,0,0,0,36
984,5,5,5,5,12
985,1,1,1,1,23
986,0,0,0,0,14
987,4,4,4,4,27
988,0,0,0,0,27
989,7,7,7,7,50
990,5,5,5,5,34
991,2,2,2,2,33
992,6,6,6,6,12
993,0,0,0,0,24
994,1,1,1,1,7
995,0,0,0,0,17
996,4,4,4,4,28
997,2,2,2,2,24
998,0,0,0,0,21
999,0,0,0,0,44
1000,7,7,7,7,42
