sentenceIndex,w_20,w_50,w_80,w_100,n,,,,,,,,,
1,1,1,1,1,17,0.058823529,,,,,,,,
2,1,1,1,1,24,0.041666667,,,,,,,,
3,2,2,2,2,14,0.142857143,,,,,,,,
4,0,0,0,0,45,0,,,,,,,,
5,3,3,3,3,21,0.142857143,,,,,,,,
6,1,1,1,1,20,0.05,,,,,,,,
7,0,0,0,0,45,0,,,,,,,,
8,7,7,7,7,21,0.333333333,,,,,,,,
9,3,3,3,3,15,0.2,,,,,,,,
10,3,3,3,3,13,0.230769231,,,,,,,,
11,5,5,5,5,14,0.357142857,,,,,,,,
12,5,5,5,5,29,0.172413793,,,,,,,,
13,1,1,1,1,39,0.025641026,,,,,,,,
14,5,5,5,5,30,0.166666667,,,,,,,,
15,6,6,6,6,29,0.206896552,,,,,,,,
16,8,8,8,8,53,0.150943396,,,,,,,,
17,4,4,4,4,15,0.266666667,,,,,,,,
18,5,5,5,5,23,0.217391304,,,,,,,,aje
19,3,3,3,3,11,0.272727273,,,,,,,,
20,0,0,0,0,31,0,,,,,,,,
21,0,0,0,0,40,0,,,,,,,,
22,3,3,3,3,35,0.085714286,,,,,,,,
23,3,3,3,3,31,0.096774194,,,,,,,,
24,6,6,6,6,16,0.375,,,,,,,,
25,7,7,7,7,18,0.388888889,,,,,,,,
26,4,4,4,4,22,0.181818182,,,,,,,,
27,2,2,2,2,18,0.111111111,,,,,,,,
28,1,1,1,1,11,0.090909091,,,,,,,,
29,5,5,5,5,6,0.833333333,,,,,,,,
30,4,4,4,4,34,0.117647059,,,,,,,,
31,4,4,4,4,17,0.235294118,,,,,,,,
32,5,5,5,5,6,0.833333333,,,,,,,,
33,1,1,1,1,28,0.035714286,,,,,,,,
34,6,6,6,6,7,0.857142857,,,,,,,,
35,3,3,3,3,21,0.142857143,,,,,,,,
36,0,0,0,0,24,0,,,,,,,,
37,4,4,4,4,27,0.148148148,,,,,,,,
38,4,4,4,4,28,0.142857143,,,,,,,,
39,0,0,0,0,26,0,,,,,,,,
40,6,6,6,6,12,0.5,,,,,,,,
41,4,4,4,4,23,0.173913043,,,,,,,,
42,3,3,3,3,24,0.125,,,,,,,,
43,4,4,4,4,13,0.307692308,,,,,,,,
44,2,2,2,2,11,0.181818182,,,,,,,,
45,0,0,0,0,35,0,,,,,,,,
46,0,0,0,0,33,0,,,,,,,,
47,3,3,3,3,34,0.088235294,,,,,,,,
48,5,5,5,5,28,0.178571429,,,,,,,,
49,1,1,1,1,23,0.043478261,,,,,,,,
50,6,6,6,6,22,0.272727273,,,,,,,,
51,9,9,9,9,51,0.176470588,,,,,,,,
52,5,5,5,5,26,0.192307692,,,,,,,,
53,10,10,10,10,35,0.285714286,,,,,,,,
54,2,2,2,2,28,0.071428571,,,,,,,,
55,5,5,5,5,31,0.161290323,,,,,,,,
56,2,2,2,2,31,0.064516129,,,,,,,,
57,4,4,4,4,32,0.125,,,,,,,,
58,1,1,1,1,14,0.071428571,,,,,,,,
59,4,4,4,4,23,0.173913043,,,,,,,,
60,4,4,4,4,23,0.173913043,,,,,,,,
61,4,4,4,4,24,0.166666667,,,,,,,,
62,6,6,6,6,17,0.352941176,,,,,,,,
63,1,1,1,1,18,0.055555556,,,,,,,,
64,0,0,0,0,17,0,,,,,,,,
65,2,2,2,2,11,0.181818182,,,,,,,,
66,1,1,1,1,27,0.037037037,,,,,,,,
67,7,7,7,7,45,0.155555556,,,,,,,,
68,0,0,0,0,28,0,,,,,,,,
69,1,1,1,1,26,0.038461538,,,,,,,,
70,6,6,6,6,20,0.3,,,,,,,,
71,1,1,1,1,29,0.034482759,,,,,,,,
72,1,1,1,1,16,0.0625,,,,,,,,
73,8,8,8,8,49,0.163265306,,,,,,,,
74,9,9,9,9,27,0.333333333,,,,,,,,
75,4,4,4,4,23,0.173913043,,,,,,,,
76,4,4,4,4,16,0.25,,,,,,,,
77,5,5,5,5,28,0.178571429,,,,,,,,
78,1,1,1,1,48,0.020833333,,,,,,,,
79,4,4,4,4,18,0.222222222,,,,,,,,
80,4,4,4,4,10,0.4,,,,,,,,
81,1,1,1,1,25,0.04,,,,,,,,
82,2,2,2,2,10,0.2,,,,,,,,
83,3,3,3,3,25,0.12,,,,,,,,
84,2,2,2,2,28,0.071428571,,,,,,,,
85,1,1,1,1,17,0.058823529,,,,,,,,
86,3,3,3,3,12,0.25,,,,,,,,
87,2,2,2,2,11,0.181818182,,,,,,,,
88,1,1,1,1,13,0.076923077,,,,,,,,
89,3,3,3,3,14,0.214285714,,,,,,,,
90,2,2,2,2,8,0.25,,,,,,,,
91,0,0,0,0,41,0,,,,,,,,
92,0,0,0,0,18,0,,,,,,,,
93,4,4,4,4,37,0.108108108,,,,,,,,
94,6,6,6,6,26,0.230769231,,,,,,,,
95,5,5,5,5,29,0.172413793,,,,,,,,
96,2,2,2,2,12,0.166666667,,,,,,,,
97,5,5,5,5,27,0.185185185,,,,,,,,
98,5,5,5,5,27,0.185185185,,,,,,,,
99,4,4,4,4,21,0.19047619,,,,,,,,
100,4,4,4,4,13,0.307692308,,,,,,,,
101,7,7,7,7,25,0.28,,,,,,,,
102,1,1,1,1,59,0.016949153,,,,,,,,
103,0,0,0,0,35,0,,,,,,,,
104,1,1,1,1,26,0.038461538,,,,,,,,
105,5,5,5,5,23,0.217391304,,,,,,,,
106,7,7,7,7,29,0.24137931,,,,,,,,
107,4,4,4,4,42,0.095238095,,,,,,,,
108,6,6,6,6,19,0.315789474,,,,,,,,
109,2,2,2,2,25,0.08,,,,,,,,
110,1,1,1,1,29,0.034482759,,,,,,,,
111,5,5,5,5,21,0.238095238,,,,,,,,
112,4,4,4,4,36,0.111111111,,,,,,,,
113,8,8,8,8,24,0.333333333,,,,,,,,
114,5,5,5,5,15,0.333333333,,,,,,,,
115,1,1,1,1,34,0.029411765,,,,,,,,
116,1,1,1,1,49,0.020408163,,,,,,,,
117,1,1,1,1,26,0.038461538,,,,,,,,
118,6,6,6,6,27,0.222222222,,,,,,,,
119,9,9,9,9,54,0.166666667,,,,,,,,
120,3,3,3,3,15,0.2,,,,,,,,
121,0,0,0,0,38,0,,,,,,,,
122,0,0,0,0,35,0,,,,,,,,
123,1,1,1,1,26,0.038461538,,,,,,,,
124,0,0,0,0,40,0,,,,,,,,
125,3,3,3,3,29,0.103448276,,,,,,,,
126,6,6,6,6,26,0.230769231,,,,,,,,
127,2,2,2,2,8,0.25,,,,,,,,
128,1,1,1,1,17,0.058823529,,,,,,,,
129,1,1,1,1,47,0.021276596,,,,,,,,
130,1,1,1,1,30,0.033333333,,,,,,,,
131,3,3,3,3,14,0.214285714,,,,,,,,
132,3,3,3,3,13,0.230769231,,,,,,,,
133,1,1,1,1,28,0.035714286,,,,,,,,
134,1,1,1,1,25,0.04,,,,,,,,
135,0,0,0,0,23,0,,,,,,,,
136,1,1,1,1,31,0.032258065,,,,,,,,
137,1,1,1,1,47,0.021276596,,,,,,,,
138,6,6,6,6,53,0.113207547,,,,,,,,
139,1,1,1,1,17,0.058823529,,,,,,,,
140,1,1,1,1,20,0.05,,,,,,,,
141,0,0,0,0,27,0,,,,,,,,
142,6,6,6,6,25,0.24,,,,,,,,
143,0,0,0,0,42,0,,,,,,,,
144,2,2,2,2,41,0.048780488,,,,,,,,
145,5,5,5,5,15,0.333333333,,,,,,,,
146,5,5,5,5,21,0.238095238,,,,,,,,
147,4,4,4,4,29,0.137931034,,,,,,,,
148,4,4,4,4,23,0.173913043,,,,,,,,
149,1,1,1,1,17,0.058823529,,,,,,,,
150,0,0,0,0,48,0,,,,,,,,
151,2,2,2,2,29,0.068965517,,,,,,,,
152,2,2,2,2,32,0.0625,,,,,,,,
153,1,1,1,1,45,0.022222222,,,,,,,,
154,9,9,9,9,61,0.147540984,,,,,,,,
155,8,8,8,8,31,0.258064516,,,,,,,,
156,4,4,4,4,34,0.117647059,,,,,,,,
157,10,10,10,10,51,0.196078431,,,,,,,,
158,0,0,0,0,30,0,,,,,,,,
159,4,4,4,4,20,0.2,,,,,,,,
160,10,10,10,10,42,0.238095238,,,,,,,,
161,7,7,7,7,24,0.291666667,,,,,,,,
162,1,1,1,1,31,0.032258065,,,,,,,,
163,0,0,0,0,36,0,,,,,,,,
164,5,5,5,5,24,0.208333333,,,,,,,,
165,3,3,3,3,30,0.1,,,,,,,,
166,6,6,6,6,38,0.157894737,,,,,,,,
167,1,1,1,1,12,0.083333333,,,,,,,,
