sentenceIndex,w_20,w_50,w_80,w_100,n
523,0,0,0,0,51
524,4,4,4,4,14
525,5,5,5,5,18
526,1,1,1,1,30
527,6,6,6,6,25
528,3,3,3,3,42
529,4,4,4,4,16
530,1,1,1,1,28
531,4,4,4,4,28
532,5,5,5,5,16
533,2,2,2,2,13
534,7,7,7,7,8
535,2,2,2,2,17
536,1,1,1,1,31
537,6,6,6,6,43
538,5,5,5,5,17
539,8,8,8,8,42
540,0,0,0,0,45
541,7,7,7,7,26
542,3,3,3,3,31
543,5,5,5,5,35
544,4,4,4,4,22
545,6,6,6,6,44
546,9,9,9,9,52
547,8,8,8,8,27
548,3,3,3,3,9
549,2,2,2,2,40
550,1,1,1,1,23
551,5,5,5,5,37
552,6,6,6,6,41
553,3,3,3,3,16
554,1,1,1,1,34
555,6,6,6,6,21
556,2,2,2,2,24
557,6,6,6,6,45
558,3,3,3,3,25
559,4,4,4,4,23
560,4,4,4,4,42
561,5,5,5,5,44
562,8,8,8,8,28
563,3,3,3,3,38
564,8,8,8,8,30
565,3,3,3,3,27
566,3,3,3,3,13
567,4,4,4,4,14
568,3,3,3,3,17
569,6,6,6,6,40
570,3,3,3,3,12
571,3,3,3,3,31
572,7,7,7,7,24
573,7,7,7,7,26
574,5,5,5,5,21
575,5,5,5,5,24
576,7,7,7,7,21
577,7,7,7,7,45
578,5,5,5,5,13
579,4,4,4,4,9
580,4,4,4,4,25
581,7,7,7,7,20
582,4,4,4,4,16
583,2,2,2,2,13
584,1,1,1,1,7
585,3,3,3,3,20
586,6,6,6,6,22
587,1,1,1,1,12
588,3,3,3,3,17
589,3,3,3,3,3
590,3,3,3,3,22
591,2,2,2,2,16
592,5,5,5,5,19
593,9,9,9,9,33
594,3,3,3,3,15
595,4,4,4,4,26
596,4,4,4,4,40
597,3,3,3,3,9
598,3,3,3,3,15
599,5,5,5,5,31
600,5,5,5,5,33
601,4,4,4,4,44
602,4,4,4,4,30
603,4,4,4,4,23
604,1,1,1,1,28
605,4,4,4,4,35
606,4,4,4,4,41
607,4,4,4,4,25
608,7,7,7,7,21
609,2,2,2,2,14
610,2,2,2,2,12
611,6,6,6,6,32
612,1,1,1,1,25
613,4,4,4,4,27
614,0,0,0,0,16
615,1,1,1,1,34
616,0,0,0,0,44
617,0,0,0,0,35
618,5,5,5,5,41
619,1,1,1,1,28
620,4,4,4,4,17
621,5,5,5,5,29
622,1,1,1,1,20
623,1,1,1,1,34
624,1,1,1,1,13
625,11,11,11,11,31
626,6,6,6,6,29
627,4,4,4,4,17
628,1,1,1,1,31
629,1,1,1,1,18
630,1,1,1,1,32
631,1,1,1,1,13
632,1,1,1,1,20
633,1,1,1,1,12
634,0,0,0,0,36
635,1,1,1,1,11
636,0,0,0,0,17
637,7,7,7,7,15
638,4,4,4,4,28
639,6,6,6,6,27
640,0,0,0,0,32
641,3,3,3,3,19
642,3,3,3,3,10
643,3,3,3,3,25
644,1,1,1,1,23
645,5,5,5,5,28
646,1,1,1,1,43
647,0,0,0,0,23
648,4,4,4,4,17
649,3,3,3,3,12
650,1,1,1,1,27
651,4,4,4,4,5
652,1,1,1,1,8
653,1,1,1,1,36
654,3,3,3,3,11
655,0,0,0,0,24
656,1,1,1,1,34
657,3,3,3,3,14
658,4,4,4,4,20
659,0,0,0,0,43
660,0,0,0,0,17
661,5,5,5,5,31
662,3,3,3,3,21
663,2,2,2,2,5
664,5,5,5,5,29
665,3,3,3,3,17
666,5,5,5,5,21
667,1,1,1,1,12
668,0,0,0,0,43
669,1,1,1,1,14
670,8,8,8,8,48
671,5,5,5,5,24
672,0,0,0,0,27
673,2,2,2,2,2
674,2,2,2,2,28
675,5,5,5,5,26
676,2,2,2,2,13
677,1,1,1,1,29
678,3,3,3,3,22
679,0,0,0,0,40
680,4,4,4,4,16
681,4,4,4,4,28
682,4,4,4,4,21
683,5,5,5,5,20
684,2,2,2,2,26
685,8,8,8,8,19
686,5,5,5,5,18
687,1,1,1,1,16
688,6,6,6,6,12
689,3,3,3,3,19
690,6,6,6,6,19
691,4,4,4,4,39
692,4,4,4,4,25
693,2,2,2,2,23
694,2,2,2,2,14
695,7,7,7,7,21
696,5,5,5,5,26
697,1,1,1,1,20
698,5,5,5,5,12
699,6,6,6,6,26
700,0,0,0,0,15
701,1,1,1,1,19
702,5,5,5,5,30
703,3,3,3,3,11
704,0,0,0,0,25
705,3,3,3,3,12
706,4,4,4,4,16
707,3,3,3,3,45
708,2,2,2,2,12
709,1,1,1,1,28
710,1,1,1,1,15
711,5,5,5,5,19
712,0,0,0,0,42
713,3,3,3,3,23
714,6,6,6,6,33
715,2,2,2,2,42
716,4,4,4,4,24
717,2,2,2,2,39
718,4,4,4,4,21
719,3,3,3,3,27
720,4,4,4,4,17
721,3,3,3,3,15
722,5,5,5,5,12
723,6,6,6,6,21
724,2,2,2,2,32
725,1,1,1,1,22
726,5,5,5,5,30
727,6,6,6,6,23
728,2,2,2,2,17
729,1,1,1,1,19
730,6,6,6,6,21
731,1,1,1,1,28
732,3,3,3,3,17
733,7,7,7,7,27
734,3,3,3,3,22
735,8,8,8,8,10
736,2,2,2,2,13
737,4,4,4,4,12
738,5,5,5,5,18
739,3,3,3,3,18
740,5,5,5,5,30
741,4,4,4,4,13
742,6,6,6,6,29
743,7,7,7,7,24
744,3,3,3,3,19
745,6,6,6,6,22
746,5,5,5,5,8
747,1,1,1,1,25
748,5,5,5,5,36
749,4,4,4,4,18
750,0,0,0,0,4
751,5,5,5,5,27
752,4,4,4,4,28
753,3,3,3,3,27
754,1,1,1,1,18
755,3,3,3,3,22
756,9,9,9,9,44
757,5,5,5,5,24
758,4,4,4,4,25
759,1,1,1,1,39
760,1,1,1,1,5
761,1,1,1,1,25
762,0,0,0,0,25
763,3,3,3,3,9
764,0,0,0,0,25
765,3,3,3,3,4
766,2,2,2,2,2
767,0,0,0,0,40
768,1,1,1,1,13
769,1,1,1,1,37
770,7,7,7,7,45
771,1,1,1,1,28
772,3,3,3,3,11
773,3,3,3,3,40
774,3,3,3,3,3
775,3,3,3,3,17
776,1,1,1,1,44
777,0,0,0,0,14
778,4,4,4,4,40
779,4,4,4,4,22
780,3,3,3,3,6
781,3,3,3,3,11
782,5,5,5,5,17
783,1,1,1,1,68
784,6,6,6,6,19
785,3,3,3,3,15
786,6,6,6,6,31
787,0,0,0,0,79
788,4,4,4,4,13
789,4,4,4,4,12
790,5,5,5,5,8
791,3,3,3,3,45
792,5,5,5,5,10
793,3,3,3,3,7
794,1,1,1,1,9
795,3,3,3,3,28
796,4,4,4,4,15
797,3,3,3,3,11
798,9,9,9,9,63
799,1,1,1,1,18
800,6,6,6,6,27
801,6,6,6,6,78
802,3,3,3,3,18
803,5,5,5,5,25
804,3,3,3,3,17
805,3,3,3,3,29
806,2,2,2,2,7
807,2,2,2,2,9
808,2,2,2,2,6
809,3,3,3,3,6
810,5,5,5,5,7
811,3,3,3,3,17
812,1,1,1,1,22
813,4,4,4,4,9
814,4,4,4,4,38
815,1,1,1,1,15
816,4,4,4,4,17
817,1,1,1,1,26
818,2,2,2,2,16
819,6,6,6,6,24
820,0,0,0,0,10
821,5,5,5,5,48
822,5,5,5,5,24
823,2,2,2,2,10
824,5,5,5,5,36
825,1,1,1,1,5
826,4,4,4,4,15
827,3,3,3,3,4
828,3,3,3,3,7
829,0,0,0,0,13
830,2,2,2,2,14
831,1,1,1,1,6
832,4,4,4,4,20
833,2,2,2,2,11
834,3,3,3,3,11
835,1,1,1,1,24
836,3,3,3,3,17
837,2,2,2,2,29
838,2,2,2,2,13
839,7,7,7,7,22
840,4,4,4,4,20
841,2,2,2,2,30
842,5,5,5,5,27
843,2,2,2,2,18
844,3,3,3,3,26
845,2,2,2,2,32
846,4,4,4,4,30
847,2,2,2,2,35
848,3,3,3,3,27
849,6,6,6,6,23
850,5,5,5,5,22
851,3,3,3,3,21
852,6,6,6,6,35
853,0,0,0,0,23
854,2,2,2,2,24
855,2,2,2,2,27
856,5,5,5,5,37
857,5,5,5,5,20
858,4,4,4,4,20
859,2,2,2,2,24
860,5,5,5,5,22
861,5,5,5,5,27
862,5,5,5,5,15
863,4,4,4,4,16
864,7,7,7,7,40
865,1,1,1,1,13
866,3,3,3,3,15
867,3,3,3,3,31
868,0,0,0,0,41
869,4,4,4,4,13
870,3,3,3,3,42
871,3,3,3,3,23
872,4,4,4,4,28
873,6,6,6,6,13
874,7,7,7,7,22
875,8,8,8,8,27
876,2,2,2,2,12
877,1,1,1,1,28
878,2,2,2,2,16
879,3,3,3,3,20
880,7,7,7,7,15
881,5,5,5,5,28
882,2,2,2,2,18
883,4,4,4,4,25
884,4,4,4,4,23
885,0,0,0,0,27
886,3,3,3,3,29
887,0,0,0,0,25
888,5,5,5,5,32
889,2,2,2,2,15
890,4,4,4,4,23
891,1,1,1,1,22
892,6,6,6,6,11
893,1,1,1,1,34
894,1,1,1,1,19
895,1,1,1,1,18
896,4,4,4,4,26
897,1,1,1,1,14
898,1,1,1,1,21
899,4,4,4,4,7
900,3,3,3,3,33
901,5,5,5,5,7
902,6,6,6,6,34
903,3,3,3,3,9
904,1,1,1,1,34
905,3,3,3,3,32
906,7,7,7,7,27
907,5,5,5,5,26
908,1,1,1,1,33
909,0,0,0,0,35
910,2,2,2,2,25
911,1,1,1,1,15
912,2,2,2,2,20
913,1,1,1,1,32
914,1,1,1,1,20
915,1,1,1,1,14
916,4,4,4,4,12
917,5,5,5,5,20
918,1,1,1,1,14
919,4,4,4,4,7
920,1,1,1,1,17
921,8,8,8,8,32
922,6,6,6,6,27
923,3,3,3,3,9
924,5,5,5,5,24
925,4,4,4,4,27
926,0,0,0,0,6
927,4,4,4,4,19
928,4,4,4,4,10
929,3,3,3,3,16
930,3,3,3,3,17
931,5,5,5,5,43
932,2,2,2,2,10
933,4,4,4,4,13
934,1,1,1,1,26
935,3,3,3,3,22
936,5,5,5,5,12
937,2,2,2,2,31
938,5,5,5,5,23
939,1,1,1,1,16
940,4,4,4,4,21
941,6,6,6,6,27
942,0,0,0,0,37
943,2,2,2,2,27
944,1,1,1,1,44
945,5,5,5,5,38
946,5,5,5,5,19
947,5,5,5,5,38
948,3,3,3,3,30
949,1,1,1,1,34
950,4,4,4,4,8
951,0,0,0,0,27
952,1,1,1,1,36
953,1,1,1,1,25
954,1,1,1,1,14
955,1,1,1,1,34
956,1,1,1,1,25
957,1,1,1,1,21
958,0,0,0,0,33
959,4,4,4,4,18
960,9,9,9,9,44
961,1,1,1,1,50
962,4,4,4,4,28
963,7,7,7,7,17
964,1,1,1,1,25
965,4,4,4,4,23
966,0,0,0,0,27
967,1,1,1,1,16
968,5,5,5,5,31
969,7,7,7,7,22
970,3,3,3,3,24
971,1,1,1,1,19
972,2,2,2,2,17
973,2,2,2,2,61
974,7,7,7,7,59
975,4,4,4,4,19
976,4,4,4,4,44
977,6,6,6,6,33
978,1,1,1,1,13
979,1,1,1,1,33
980,2,2,2,2,43
981,5,5,5,5,23
982,3,3,3,3,17
983,1,1,1,1,36
984,3,3,3,3,12
985,2,2,2,2,23
986,1,1,1,1,14
987,7,7,7,7,27
988,1,1,1,1,27
989,8,8,8,8,50
990,9,9,9,9,34
991,4,4,4,4,33
992,3,3,3,3,12
993,1,1,1,1,24
994,2,2,2,2,7
995,1,1,1,1,17
996,5,5,5,5,28
997,3,3,3,3,24
998,1,1,1,1,21
999,0,0,0,0,44
1000,8,8,8,8,42
