sentenceIndex,w_20,w_50,w_80,w_100,n
1,1,1,1,1,17
2,1,1,1,1,24
3,2,2,2,2,14
4,1,1,1,1,45
5,4,4,4,4,21
6,1,1,1,1,20
7,0,0,0,0,45
8,9,9,9,9,21
9,4,4,4,4,15
10,3,3,3,3,13
11,4,4,4,4,14
12,5,5,5,5,29
13,1,1,1,1,39
14,5,5,5,5,30
15,7,7,7,7,29
16,11,11,11,11,53
17,4,4,4,4,15
18,5,5,5,5,23
19,4,4,4,4,11
20,0,0,0,0,31
21,0,0,0,0,40
22,4,4,4,4,35
23,7,7,7,7,31
24,6,6,6,6,16
25,6,6,6,6,18
26,4,4,4,4,22
27,4,4,4,4,18
28,1,1,1,1,11
29,4,4,4,4,6
30,3,3,3,3,34
31,4,4,4,4,17
32,4,4,4,4,6
33,1,1,1,1,28
34,5,5,5,5,7
35,3,3,3,3,21
36,0,0,0,0,24
37,6,6,6,6,27
38,4,4,4,4,28
39,0,0,0,0,26
40,5,5,5,5,12
41,4,4,4,4,23
42,3,3,3,3,24
43,2,2,2,2,13
44,2,2,2,2,11
45,0,0,0,0,35
46,0,0,0,0,33
47,3,3,3,3,34
48,5,5,5,5,28
49,1,1,1,1,23
50,6,6,6,6,22
51,9,9,9,9,51
52,3,3,3,3,26
53,6,6,6,6,35
54,2,2,2,2,28
55,5,5,5,5,31
56,5,5,5,5,31
57,7,7,7,7,32
58,1,1,1,1,14
59,3,3,3,3,23
60,4,4,4,4,23
61,4,4,4,4,24
62,6,6,6,6,17
63,1,1,1,1,18
64,0,0,0,0,17
65,2,2,2,2,11
66,1,1,1,1,27
67,7,7,7,7,45
68,0,0,0,0,28
69,1,1,1,1,26
70,5,5,5,5,20
71,1,1,1,1,29
72,1,1,1,1,16
73,8,8,8,8,49
74,9,9,9,9,27
75,4,4,4,4,23
76,5,5,5,5,16
77,4,4,4,4,28
78,1,1,1,1,48
79,4,4,4,4,18
80,4,4,4,4,10
81,1,1,1,1,25
82,2,2,2,2,10
83,2,2,2,2,25
84,2,2,2,2,28
85,1,1,1,1,17
86,3,3,3,3,12
87,3,3,3,3,11
88,1,1,1,1,13
89,2,2,2,2,14
90,2,2,2,2,8
91,0,0,0,0,41
92,0,0,0,0,18
93,4,4,4,4,37
94,6,6,6,6,26
95,4,4,4,4,29
96,4,4,4,4,12
97,6,6,6,6,27
98,5,5,5,5,27
99,4,4,4,4,21
100,3,3,3,3,13
101,7,7,7,7,25
102,1,1,1,1,59
103,0,0,0,0,35
104,1,1,1,1,26
105,5,5,5,5,23
106,7,7,7,7,29
107,2,2,2,2,42
108,5,5,5,5,19
109,2,2,2,2,25
110,1,1,1,1,29
111,5,5,5,5,21
112,4,4,4,4,36
113,8,8,8,8,24
114,4,4,4,4,15
115,1,1,1,1,34
116,1,1,1,1,49
117,1,1,1,1,26
118,6,6,6,6,27
119,9,9,9,9,54
120,3,3,3,3,15
121,0,0,0,0,38
122,1,1,1,1,35
123,1,1,1,1,26
124,0,0,0,0,40
125,2,2,2,2,29
126,4,4,4,4,26
127,2,2,2,2,8
128,3,3,3,3,17
129,1,1,1,1,47
130,1,1,1,1,30
131,4,4,4,4,14
132,4,4,4,4,13
133,1,1,1,1,28
134,1,1,1,1,25
135,0,0,0,0,23
136,1,1,1,1,31
137,1,1,1,1,47
138,6,6,6,6,53
139,1,1,1,1,17
140,1,1,1,1,20
141,0,0,0,0,27
142,8,8,8,8,25
143,0,0,0,0,42
144,2,2,2,2,41
145,6,6,6,6,15
146,5,5,5,5,21
147,4,4,4,4,29
148,4,4,4,4,23
149,1,1,1,1,17
150,0,0,0,0,48
151,2,2,2,2,29
152,2,2,2,2,32
153,0,0,0,0,45
154,9,9,9,9,61
155,9,9,9,9,31
156,5,5,5,5,34
157,9,9,9,9,51
158,0,0,0,0,30
159,4,4,4,4,20
160,9,9,9,9,42
161,7,7,7,7,24
162,1,1,1,1,31
163,0,0,0,0,36
164,5,5,5,5,24
165,4,4,4,4,30
166,3,3,3,3,38
167,1,1,1,1,12
168,0,0,0,0,31
169,1,1,1,1,28
170,5,5,5,5,34
171,4,4,4,4,23
172,2,2,2,2,13
173,0,0,0,0,32
174,4,4,4,4,23
175,6,6,6,6,30
176,6,6,6,6,17
177,1,1,1,1,22
178,0,0,0,0,53
179,0,0,0,0,28
180,1,1,1,1,45
181,1,1,1,1,53
182,7,7,7,7,35
183,6,6,6,6,17
184,1,1,1,1,18
185,4,4,4,4,9
186,3,3,3,3,28
187,0,0,0,0,31
188,5,5,5,5,11
189,3,3,3,3,22
190,1,1,1,1,27
191,3,3,3,3,20
192,7,7,7,7,19
193,3,3,3,3,21
194,4,4,4,4,16
195,3,3,3,3,9
196,1,1,1,1,17
197,1,1,1,1,16
198,1,1,1,1,12
199,2,2,2,2,16
200,3,3,3,3,16
201,0,0,0,0,26
202,1,1,1,1,12
203,6,6,6,6,14
204,3,3,3,3,7
205,5,5,5,5,21
206,3,3,3,3,15
207,5,5,5,5,27
208,0,0,0,0,23
209,1,1,1,1,10
210,4,4,4,4,21
211,6,6,6,6,18
212,1,1,1,1,21
213,1,1,1,1,21
214,3,3,3,3,22
215,6,6,6,6,23
216,3,3,3,3,6
217,3,3,3,3,11
218,3,3,3,3,11
219,3,3,3,3,9
220,2,2,2,2,22
221,5,5,5,5,12
222,3,3,3,3,21
223,0,0,0,0,24
224,3,3,3,3,16
225,7,7,7,7,43
226,3,3,3,3,36
227,2,2,2,2,26
228,3,3,3,3,5
229,2,2,2,2,13
230,1,1,1,1,9
231,1,1,1,1,21
232,4,4,4,4,15
233,2,2,2,2,14
234,1,1,1,1,17
235,2,2,2,2,13
236,0,0,0,0,3
237,5,5,5,5,21
238,1,1,1,1,32
239,4,4,4,4,12
240,3,3,3,3,16
241,1,1,1,1,17
242,1,1,1,1,6
243,0,0,0,0,34
244,4,4,4,4,34
245,1,1,1,1,15
246,1,1,1,1,13
247,3,3,3,3,19
248,2,2,2,2,7
249,5,5,5,5,35
250,4,4,4,4,35
251,2,2,2,2,25
252,1,1,1,1,28
253,2,2,2,2,8
254,0,0,0,0,37
255,0,0,0,0,11
256,7,7,7,7,42
257,5,5,5,5,33
258,5,5,5,5,13
259,6,6,6,6,27
260,3,3,3,3,9
261,2,2,2,2,7
262,2,2,2,2,25
263,4,4,4,4,5
264,1,1,1,1,25
265,1,1,1,1,10
266,0,0,0,0,38
267,3,3,3,3,30
268,1,1,1,1,14
269,1,1,1,1,24
270,5,5,5,5,31
271,2,2,2,2,13
272,10,10,10,10,110
273,2,2,2,2,7
274,5,5,5,5,22
275,0,0,0,0,55
276,2,2,2,2,32
277,4,4,4,4,40
278,0,0,0,0,40
279,1,1,1,1,15
280,0,0,0,0,33
281,4,4,4,4,29
282,4,4,4,4,26
283,1,1,1,1,20
284,8,8,8,8,19
285,5,5,5,5,39
286,8,8,8,8,24
287,3,3,3,3,20
288,10,10,10,10,48
289,0,0,0,0,31
290,6,6,6,6,11
291,5,5,5,5,16
292,2,2,2,2,13
293,4,4,4,4,9
294,5,5,5,5,35
295,1,1,1,1,7
296,7,7,7,7,39
297,1,1,1,1,22
298,4,4,4,4,19
299,4,4,4,4,37
300,6,6,6,6,36
301,6,6,6,6,30
302,1,1,1,1,48
303,0,0,0,0,46
304,2,2,2,2,26
305,5,5,5,5,30
306,1,1,1,1,28
307,5,5,5,5,16
308,9,9,9,9,32
309,1,1,1,1,18
310,3,3,3,3,14
311,1,1,1,1,39
312,0,0,0,0,26
313,2,2,2,2,24
314,2,2,2,2,38
315,1,1,1,1,23
316,3,3,3,3,26
317,5,5,5,5,24
318,0,0,0,0,46
319,0,0,0,0,28
320,0,0,0,0,65
321,1,1,1,1,19
322,6,6,6,6,24
323,1,1,1,1,52
324,1,1,1,1,5
325,0,0,0,0,33
326,5,5,5,5,32
327,5,5,5,5,19
328,4,4,4,4,16
329,3,3,3,3,9
330,3,3,3,3,25
331,0,0,0,0,23
332,1,1,1,1,14
333,0,0,0,0,33
334,1,1,1,1,19
335,1,1,1,1,25
336,6,6,6,6,19
337,7,7,7,7,37
338,1,1,1,1,13
339,6,6,6,6,23
340,3,3,3,3,20
341,2,2,2,2,22
342,3,3,3,3,31
343,6,6,6,6,36
344,4,4,4,4,39
345,3,3,3,3,31
346,0,0,0,0,63
347,2,2,2,2,20
348,4,4,4,4,11
349,6,6,6,6,19
350,4,4,4,4,29
351,4,4,4,4,14
352,4,4,4,4,26
353,7,7,7,7,32
354,1,1,1,1,17
355,3,3,3,3,14
356,4,4,4,4,16
357,0,0,0,0,18
358,2,2,2,2,14
359,3,3,3,3,28
360,3,3,3,3,36
361,1,1,1,1,26
362,6,6,6,6,22
363,6,6,6,6,18
364,3,3,3,3,18
365,5,5,5,5,20
366,5,5,5,5,13
367,6,6,6,6,36
368,6,6,6,6,30
369,4,4,4,4,19
370,10,10,10,10,51
371,5,5,5,5,28
372,1,1,1,1,31
373,4,4,4,4,8
374,3,3,3,3,13
375,5,5,5,5,33
376,2,2,2,2,13
377,4,4,4,4,12
378,1,1,1,1,32
379,4,4,4,4,19
380,1,1,1,1,15
381,3,3,3,3,14
382,1,1,1,1,4
383,1,1,1,1,45
384,5,5,5,5,21
385,5,5,5,5,10
386,3,3,3,3,3
387,3,3,3,3,13
388,6,6,6,6,15
389,5,5,5,5,22
390,6,6,6,6,26
391,4,4,4,4,34
392,6,6,6,6,38
393,0,0,0,0,42
394,5,5,5,5,19
395,0,0,0,0,38
396,1,1,1,1,12
397,2,2,2,2,13
398,12,12,12,12,60
399,5,5,5,5,23
400,5,5,5,5,16
401,6,6,6,6,32
402,1,1,1,1,38
403,4,4,4,4,22
404,2,2,2,2,25
405,4,4,4,4,27
406,6,6,6,6,25
407,4,4,4,4,21
408,4,4,4,4,19
409,7,7,7,7,56
410,5,5,5,5,16
411,4,4,4,4,14
412,5,5,5,5,31
413,1,1,1,1,41
414,7,7,7,7,19
415,0,0,0,0,25
416,3,3,3,3,3
417,8,8,8,8,51
418,3,3,3,3,19
419,5,5,5,5,16
420,2,2,2,2,16
421,0,0,0,0,19
422,3,3,3,3,14
423,4,4,4,4,15
424,4,4,4,4,8
425,6,6,6,6,20
426,4,4,4,4,14
427,1,1,1,1,17
428,5,5,5,5,36
429,4,4,4,4,7
430,1,1,1,1,26
431,8,8,8,8,24
432,2,2,2,2,6
433,2,2,2,2,14
434,6,6,6,6,24
435,5,5,5,5,19
436,1,1,1,1,12
437,5,5,5,5,33
438,6,6,6,6,34
439,4,4,4,4,16
440,0,0,0,0,40
441,1,1,1,1,21
442,1,1,1,1,24
443,2,2,2,2,17
444,1,1,1,1,12
445,6,6,6,6,20
446,0,0,0,0,23
447,1,1,1,1,26
448,5,5,5,5,20
449,4,4,4,4,14
450,5,5,5,5,24
451,7,7,7,7,22
452,1,1,1,1,23
453,1,1,1,1,39
454,2,2,2,2,26
455,3,3,3,3,30
456,3,3,3,3,24
457,1,1,1,1,28
458,0,0,0,0,29
459,0,0,0,0,2
460,3,3,3,3,16
461,5,5,5,5,22
462,4,4,4,4,21
463,6,6,6,6,18
464,2,2,2,2,16
465,0,0,0,0,39
466,1,1,1,1,7
467,1,1,1,1,24
468,7,7,7,7,37
469,3,3,3,3,31
470,5,5,5,5,10
471,0,0,0,0,37
472,1,1,1,1,14
473,7,7,7,7,17
474,7,7,7,7,22
475,7,7,7,7,21
476,1,1,1,1,33
477,2,2,2,2,16
478,1,1,1,1,25
479,4,4,4,4,26
480,6,6,6,6,31
481,1,1,1,1,31
482,6,6,6,6,16
483,2,2,2,2,44
484,6,6,6,6,24
485,1,1,1,1,22
486,1,1,1,1,16
487,1,1,1,1,23
488,2,2,2,2,14
489,5,5,5,5,29
490,4,4,4,4,23
491,0,0,0,0,30
492,6,6,6,6,27
493,3,3,3,3,31
494,5,5,5,5,23
495,5,5,5,5,23
496,1,1,1,1,21
497,5,5,5,5,28
498,1,1,1,1,15
499,3,3,3,3,26
500,5,5,5,5,16
501,4,4,4,4,20
502,7,7,7,7,21
503,4,4,4,4,31
504,6,6,6,6,30
505,5,5,5,5,29
506,4,4,4,4,25
507,4,4,4,4,34
508,3,3,3,3,30
509,2,2,2,2,29
510,4,4,4,4,29
511,2,2,2,2,30
512,7,7,7,7,27
513,4,4,4,4,19
514,4,4,4,4,29
515,6,6,6,6,36
516,2,2,2,2,18
517,5,5,5,5,37
518,4,4,4,4,21
519,1,1,1,1,48
520,5,5,5,5,41
521,1,1,1,1,52
522,4,4,4,4,23
